iDQ 1.0,dCAQE 4.0.1,iProver v3.1 (CASC-27),HQS 2,DQBDD 1.1
0.092214877,0.018273737,0.279319639,0.165457203,0.030105797
0.094995962,0.018819382,0.286705614,0.221178385,0.030613127
0.32521223,0.019743337,0.374447998,0.23740553,0.034771866
0.39058766,0.023747982,0.393097717,0.239083474,0.035008924
1.444825204,0.025002185,0.708365978,0.261163982,0.035098541
1.608035312,0.026853803,0.841120081,0.266595773,0.038526357
6.903011334,0.028113303,2.418683779,0.286317928,0.042300696
29.85817204,0.030838751,2.68103776,0.301806877,0.046501422
66.70977651,0.047835491,3.008115147,0.315435298,0.046958756
173.7556976,0.050760464,3.137275524,0.355127078,0.050612518
,0.050925622,3.231676931,0.405702877,0.063105067
,0.055238815,4.125971901,0.429605681,0.066791691
,0.05661169,4.565471515,0.487495026,0.129401138
,0.056656216,5.006114477,0.537174469,0.129566787
,0.059801815,5.635108082,0.537794054,0.161653745
,0.067545743,5.928613857,0.542348743,0.213686033
,0.074416254,6.181612863,0.61691781,0.421117186
,0.074606491,11.77155725,0.693321929,0.449904123
,0.074776064,34.41847403,0.75385142,0.562151266
,0.101789383,74.15254528,0.763442215,0.566526278
,0.126861049,74.43204789,0.76631287,0.745982367
,0.130729195,75.11785095,0.947049047,0.954156217
,0.13496327,75.33962046,0.990333123,1.13529854
,0.139877944,77.43392184,1.11014449,1.522913907
,0.154341114,78.29025723,1.238518088,1.54090509
,0.193900681,85.21260875,1.410191904,1.558310985
,0.196040755,87.22622589,1.434482665,2.127071497
,0.338566194,94.86109961,1.470328649,8.179670887
,0.363495156,104.4262799,1.590359582,8.216511365
,0.554698829,110.9364738,1.930815628,9.712428205
,0.867739583,,1.94671463,10.89838993
,1.333239566,,2.026658705,10.90186285
,1.337571632,,6.257781158,11.79818274
,1.392386946,,6.262858947,15.39356346
,5.375747062,,22.54564969,20.94174768
,9.263568138,,23.02883961,21.27789367
,9.400757872,,23.12267358,68.31994565
,15.43953969,,28.55671429,69.48873974
,31.59425519,,79.83579581,151.3058453
,58.52417961,,87.85952617,262.6837257
,121.1986666,,88.27618824,
,178.3091339,,113.485365,
,182.1519732,,,
,753.8147359,,,
