atbeginning,continuous,varsinconjuncts
901.5862394,901.5898531,901.5956426
901.6806534,901.6834245,901.6770081
901.6899774,901.6916354,901.6885339
901.6767214,901.6872981,901.6868779
901.6914722,901.6907037,901.6901999
901.6784176,901.6745014,901.6793278
2.062888949,2.076704089,2.087736939
0.417513682,0.432709561,0.442408313
31.07909805,30.6936086,30.67548282
29.43533316,29.34768607,29.33475267
0.158186969,0.153791425,0.161675412
0.20976487,0.2058242,0.222577082
901.6939309,901.6756213,901.6783186
901.6862741,901.6898922,901.6902192
901.6841506,901.6819045,901.6847354
901.5808121,901.5902156,901.5832707
901.6754661,901.6935186,901.6972847
901.678817,901.6827786,901.6831049
901.690555,901.6896471,901.6782262
901.9432141,901.6772799,901.8262369
901.8897039,901.6815418,901.6817344
901.5894599,901.5870145,901.5852376
901.676108,901.6930366,901.6968925
901.6830902,901.6807699,901.6830827
901.6910868,901.6849001,901.6754137
901.6948786,901.6902278,901.6871824
901.6826842,901.6805098,901.6910994
130.1753963,130.2429616,129.5334371
901.673574,901.6893376,901.6857633
901.6812839,901.8211597,901.6789815
901.6236367,901.6240235,901.6256378
0.560112294,901.674215,901.6679306
901.6947754,202.9047625,55.07558116
901.6843622,323.9238869,34.95449115
0.025211772,0.032705367,0.036264832
0.044749634,0.102850686,0.111120838
0.045170566,0.101395838,0.109134686
0.061106517,0.215493324,0.215343283
10.96462748,7.398639538,5.108710708
901.694958,901.6931673,901.6920364
901.6735222,901.6840665,901.6825635
901.6888874,901.5804147,901.6847378
901.5790094,901.6886198,901.6920148
901.6848568,901.6757905,901.5796508
901.6799074,901.6791401,901.6775612
901.6895348,901.6930992,901.6923676
901.6768667,901.6852663,901.6864853
901.6805896,901.5788109,901.6833515
901.5764133,901.692951,901.6927828
901.6930259,901.6806676,901.5804306
901.6782514,901.6772948,901.6777086
901.6934153,901.6970263,901.6928117
901.6819422,901.6833629,901.6773004
901.6881367,901.5824386,901.6872998
901.5767682,901.6906761,901.6907568
901.6955594,901.6846588,901.5842428
901.8987359,901.680755,901.6805683
901.6929952,901.6929635,901.6877193
901.6812977,901.6826714,901.6848186
901.6842582,901.5804218,901.6790705
901.5812094,901.6885986,901.692133
901.6936798,901.6805125,901.5807369
901.7768291,901.6776615,901.6798812
901.6928478,901.6967709,901.6960781
901.6768945,901.6821049,901.6811921
901.6787769,901.5812122,901.6822542
901.571337,901.6923443,901.6924125
901.6934077,901.6808533,901.5765468
901.6850063,901.6765445,901.6773191
901.692578,901.6890734,901.6921457
901.68133,901.6825119,901.6829842
901.678902,901.5824357,901.6783802
901.5759418,901.6922234,901.6886976
901.6873206,901.680574,901.5736725
901.7979348,901.6727438,901.6723572
901.6858618,901.6926936,901.6926706
901.6852062,901.6867456,901.6853606
901.7119147,901.6099585,901.7070945
31.63496966,31.64811561,31.57981727
