simple-atbeginning.dqbf19,simple-continuous.dqbf19,simple-varsinconjuncts.dqbf19,tree-simpleelimination-atbeginning.dqbf19,tree-simpleelimination-continuous.dqbf19,tree-simpleelimination-varsinconjuncts.dqbf19,tree-fullelimination-atbeginning.dqbf19,tree-fullelimination-continuous.dqbf19,tree-fullelimination-varsinconjuncts.dqbf19
0.021071367,0.031454584,0.031774538,0.025211772,0.032705367,0.036264832,0.025869097,0.023885307,0.028066791
0.026281564,0.034995756,0.034323243,0.033097092,0.052669119,0.056559254,0.042927607,0.042003609,0.04844454
0.034149217,0.035277266,0.038262309,0.041051345,0.052804215,0.056737448,0.045173501,0.046466077,0.052149839
0.03443466,0.036731215,0.039622119,0.044749634,0.05663773,0.056848146,0.05640503,0.056328908,0.056413534
0.034435239,0.039089968,0.043556618,0.045170566,0.056815935,0.060747995,0.056520169,0.058494715,0.056513658
0.0345607,0.039781079,0.04666777,0.055430398,0.056868831,0.060749774,0.056833666,0.059333813,0.060236606
0.034594124,0.04278301,0.046881189,0.056913065,0.056974345,0.068851386,0.060297638,0.060183789,0.060285663
0.038580579,0.043698612,0.047105496,0.056916315,0.060883834,0.072739524,0.060369868,0.060280163,0.060318036
0.03859314,0.045521501,0.062286727,0.056983891,0.064868932,0.072760143,0.060509059,0.060587251,0.068010847
0.038672647,0.046914623,0.067675277,0.057119171,0.068891434,0.076499103,0.06054777,0.0630215,0.068405146
0.039412144,0.048565053,0.069331652,0.061106517,0.069894831,0.08474339,0.061732407,0.064225318,0.07143259
0.042741257,0.061532313,0.081082156,0.06111061,0.070480214,0.088736008,0.068386368,0.068472941,0.072396422
0.0431769,0.070452213,0.081468514,0.065057052,0.072928525,0.109134686,0.068493309,0.068702692,0.076334752
0.04319492,0.077965305,0.097794766,0.068777993,0.101395838,0.111120838,0.068499673,0.06875958,0.080140823
0.049786215,0.09496589,0.103272967,0.069024118,0.102850686,0.112556394,0.072564101,0.071319505,0.087905187
0.069919023,0.095245939,0.10423602,0.069100556,0.132830608,0.13272691,0.084557413,0.084274932,0.092322533
0.077916528,0.097023895,0.107275254,0.121268385,0.153791425,0.161675412,0.132497878,0.132299131,0.131322863
0.079043757,0.125307143,0.129439355,0.125173159,0.161226855,0.164782743,0.160562464,0.160274589,0.161287716
0.086143509,0.12991685,0.133658279,0.129267873,0.185227408,0.192831286,0.187499378,0.188624587,0.192307839
0.099742806,0.133697835,0.137255934,0.158186969,0.19305975,0.192850955,0.192473001,0.192187365,0.194536643
