iDQ 1.0,iProver v3.1 (CASC-27),HQS 2,dCAQE 4.0.1,DQBDD 1.1
0.06491035,0.279624678,0.038151664,0.023393377,0.025211772
0.091801801,0.379623367,0.046007565,0.023602603,0.033097092
0.193754237,0.703254818,0.049997543,0.030522077,0.041051345
0.388177798,0.837899736,0.050047213,0.03284366,0.044749634
1.078718886,0.866694992,0.053949132,0.039197354,0.045170566
1.563017333,0.925419423,0.058026547,0.041782429,0.055430398
2.083470548,2.343204695,0.062144181,0.045243081,0.056913065
2.9674262,2.426462391,0.062174704,0.046201173,0.056916315
6.659539828,4.133273531,0.085955146,0.052671702,0.056983891
6.869633218,4.549014355,0.102340161,0.055544294,0.057119171
22.31758726,4.998278537,0.122179304,0.057159086,0.061106517
22.45278123,5.947982375,0.130268878,0.060631887,0.06111061
27.30875144,9.82575851,0.13412034,0.064505317,0.065057052
65.3592,10.32725514,0.154459196,0.065826338,0.068777993
86.40040056,14.79570376,0.158638007,0.069485052,0.069024118
90.47645774,14.93111546,0.162141634,0.073782291,0.069100556
92.70552878,35.0646581,0.182462241,0.0764781,0.121268385
102.767632,35.23068042,0.186214761,0.08101776,0.125173159
102.8168273,44.10166016,0.186492711,0.101164074,0.129267873
149.086807,44.50951198,0.206671542,0.106611073,0.158186969
149.3952971,49.09689189,0.238173799,0.11332129,0.161194391
174.3297404,72.61788396,0.246333053,0.117374099,0.189242708
323.1848518,74.14885269,0.288720403,0.118814981,0.193232409
352.3941941,74.45588939,0.298119152,0.126125337,0.20976487
426.0559197,75.09953465,0.30210536,0.129442275,0.225191638
743.3875147,78.15442991,0.302140284,0.130685641,0.245298502
745.8580237,79.67505351,0.310261846,0.150511478,0.248989398
,85.14298342,0.314402225,0.151411536,0.32130288
,87.26930984,0.318115375,0.15810311,0.337012468
,87.2774982,0.327093375,0.172517448,0.337027624
,89.37720488,0.338301797,0.181573548,0.345230338
,93.84449106,0.366390682,0.19806218,0.361345086
,94.35105841,0.366437032,0.20888141,0.417513682
,94.89675085,0.366721543,0.22277062,0.453397894
,96.41997734,0.370902117,0.233117709,0.473489539
,121.8171836,0.398231113,0.23388551,0.501545308
,123.8698784,0.402791275,0.238087842,0.513192561
,146.7856271,0.454618552,0.244058428,0.513431359
,266.0628533,0.490550776,0.245367698,0.560112294
,267.2445722,0.502446341,0.259950428,0.613508939
,283.7029974,0.514672535,0.273410984,0.669688543
,291.7914815,0.546978442,0.277446084,0.677651968
,377.0629382,0.563086982,0.289419426,0.685623905
,391.29545,0.590659597,0.294269132,0.709314192
,424.1433601,0.630554736,0.328393145,0.725326762
,447.4171453,0.694735279,0.333353857,0.729154843
,655.6071916,0.750607214,0.365349008,0.881132651
,663.1644356,0.762922636,0.376495335,0.937642827
,715.8795073,0.766743684,0.389525635,0.947697255
,845.3100943,1.042880075,0.413168371,0.961746175
,,1.05882293,0.416583757,0.985841675
,,1.150968749,0.429560517,0.993419483
,,1.175217755,0.434489855,1.00562856
,,1.235567151,0.441343814,1.017395037
,,1.247098056,0.454223587,1.021760683
,,1.271292059,0.460931728,1.048963953
