dCAQE 4.0.1,DQBDD 1.1
0.02340661,0.022679276
0.032602882,0.039452181
0.032723436,0.03829828
0.036978541,0.035248476
0.046813876,0.02653863
0.024646949,0.026749739
0.032535989,0.026867737
0.042321548,0.035044765
0.038068938,0.03023278
0.022308013,0.023092712
0.04126575,0.027189763
0.013728449,0.030471654
0.032236086,0.030889345
0.094645756,0.03493063
0.020787934,0.026641772
0.020425709,0.026839189
0.089618588,0.026352356
0.023471855,0.026994547
0.020534422,0.026743282
0.025191508,0.023343187
0.025432982,0.030572043
0.017950727,0.023205385
0.022996427,0.031696447
0.018997055,0.027040429
0.01618087,0.027121269
0.021725806,0.027140639
0.140445439,0.026622772
0.026704036,0.027156225
0.017060805,0.026643916
0.022791198,0.027181252
0.018463601,0.027206608
0.023096114,0.027258618
0.048715646,0.030991725
0.023926142,0.026617888
0.020767012,0.026802366
0.036855778,0.030932622
0.017031449,0.026637113
0.023125509,0.027359235
0.037366911,0.040114751
0.029086149,0.026913258
0.022269627,0.026677187
0.023138878,0.026930511
0.019977227,0.026657717
0.021628079,0.027646553
0.032131757,0.026645288
0.018350993,0.026665362
0.018244145,0.026774151
0.05112507,0.035120401
0.021351628,0.026999715
0.031926673,0.022894689
0.026610068,0.030363649
0.018853482,0.026581247
0.046086382,0.026969306
0.016215506,0.026981652
0.029359731,0.030445331
0.098459031,0.026684278
0.01371986,0.026893983
0.023807417,0.026073005
0.023242481,0.026235586
0.026128224,0.030179586
0.028336198,0.026047387
0.018382466,0.026372685
0.018744943,0.02624071
0.024370775,0.025919522
0.165621581,0.033572017
0.019785712,0.030397764
0.207601691,0.046457903
0.020533422,0.026385775
0.022421171,0.030356559
0.026676665,0.030652188
0.017811469,0.029266165
0.022271079,0.034233815
0.13336563,0.033848945
0.086159238,0.037880105
0.021124426,0.029704832
0.021059051,0.03031451
0.017401487,0.026706333
0.031690499,0.030331435
0.013124698,0.025801186
0.049209026,0.030568965
0.032310624,0.030025626
0.020772653,0.024672525
0.017312049,0.025772063
0.014479727,0.034311027
0.032560127,0.029840983
0.007993738,0.022399588
0.027599818,0.034292937
0.022137409,0.026230729
0.025847907,0.026064527
0.029329991,0.030229608
0.021504003,0.025543403
0.015753074,0.022194704
0.04721104,0.030036984
0.05613052,0.026041421
0.020753902,0.026029355
