HQS 2,DQBDD 1.1
900,12.10940122
900,21.30543939
900,20.91774468
900,13.13229536
900,27.40614711
900,13.16180058
900,13.93316317
900,19.81378451
900,21.15961539
900,21.08176703
900,17.12062832
900,20.54564981
900,8.541840161
900,17.11143735
900,8.583124267
900,9.737364466
900,19.41615403
900,20.85031202
900,35.50900287
900,20.48975624
900,20.81746583
900,17.21611937
900,19.54076167
900,20.82234393
900,12.42939689
900,19.36108582
900,20.85136955
900,34.84218119
900,147.4121055
900,30.43618174
900,48.00778495
900,25.75746508
900,849.3485027
900,11.89765829
900,21.89150676
900,21.89935917
0.190615594,19.08168105
900,42.34219271
900,22.02318055
0.183609107,19.50967335
900,28.49604515
900,32.38170545
900,29.92878933
900,29.4011036
900,22.11105883
0.184012204,19.43217246
900,19.76211066
900,21.98140657
0.185940883,19.39374822
900,19.94610234
900,22.03829622
0.189863903,19.3486245
36.05204664,900
151.3315413,900
33.74311898,900
151.4702084,900
33.58648028,900
149.4231103,900
33.4895843,900
152.5647094,900
0.413876687,0.330301937
1.674560556,0.314849701
0.722172926,0.69882686
0.762204699,0.755713586
1.74653349,0.31452829
0.141709121,0.262371284
0.73024304,0.226520189
2.647342222,0.459430131
0.533543155,0.227168394
0.197438639,0.179032172
0.133741673,0.250635076
0.349943538,0.258710619
3.583516758,0.723406293
8.458564795,1.215144929
7.394807598,1.163640026
3.564126031,0.72338246
7.851078336,0.730477432
0.437786329,0.258550565
131.1388751,0.939764227
900,1.359974253
5.485412516,1.355095524
14.29957443,1.418879803
130.342431,0.939283797
21.03318988,0.839206111
900,0.686887739
413.8930302,0.507482261
900,0.767155148
900,0.791888163
1.282504503,0.655083052
5.409534554,0.830711217
2.591795602,0.646854741
1.162485363,0.657635674
0.754315708,0.834064218
1.012032335,0.63778973
0.086078583,0.19043155
0.109937509,0.211854832
0.189879231,0.353327254
900,1.3918876
900,0.909127485
900,4.779606484
900,1.419563541
900,0.936047395
900,4.761902785
12.13044829,0.618660426
19.17904191,0.57884166
7.439163576,0.960383548
1.362276422,0.819610964
0.093884598,0.184947031
0.10981706,0.205093029
0.121899114,0.271855687
900,7.131886071
900,7.154330654
722.707536,3.773594522
900,13.3842231
0.08960294,0.186472342
0.109696874,0.210617282
0.165376557,0.270577315
900,153.8772379
900,37.3820222
900,15.97462393
900,7.716503272
6.281073542,1.992445837
900,31.90703224
0.085737343,0.186929849
0.109897362,0.206987132
0.153849573,0.271328732
900,135.5072486
900,25.24501626
900,9.593482046
900,54.67903981
0.093654198,0.190431539
0.1062654,0.210248226
0.161769425,0.274501589
28.18969128,28.97141825
0.325356566,0.984003855
1.149816103,1.050134182
1.550357995,1.024917248
27.8314657,28.93644058
0.325708697,0.9761376
1.141955523,0.971540021
27.89764205,29.00068599
0.321133684,0.990258107
1.157766587,0.98338162
27.72156791,28.98241698
0.324107118,0.990650434
0.049777474,0.060480312
0.04749003,0.059183236
0.046178422,0.060427062
0.0474897,0.05523509
0.059228712,0.071507457
0.041616046,0.052549331
0.043260663,0.059433161
0.046352545,0.056331854
0.043491154,0.055403319
0.034408893,0.039056177
0.043033058,0.046938406
0.042634705,0.059239172
0.05577593,0.054849379
0.038742843,0.04707315
0.041964217,0.043399081
0.03939848,0.045887071
0.323309688,0.062008644
0.040587082,0.046823424
0.327579667,0.064765828
0.038580323,0.049795281
0.30286767,0.078755957
0.038695339,0.050648348
0.046534768,900
0.046403532,900
0.040250621,0.049625449
0.171070469,0.050156869
0.305361855,0.065934928
0.036688124,0.049733592
0.169446206,0.04589256
0.258400414,0.065629601
0.038464065,0.0461659
0.038383661,0.049967091
0.042514156,0.057480119
0.042126216,0.057854783
0.040201473,0.045965572
0.370951362,0.065800465
0.65969262,0.066193903
0.038438751,0.04933203
0.395241387,0.062197848
0.592333042,0.071010392
0.038918745,0.049879241
0.037923539,0.049638386
0.042567548,0.053896251
0.041732129,0.057740118
0.378012212,0.066315436
0.526694341,0.078673914
1.01449199,900
1.384241624,0.079191493
1.099817606,900
1.502200064,900
1.766408582,900
0.042596765,0.051527797
0.043608146,0.058204368
0.042106866,0.058263204
0.362832892,0.051899495
0.923079864,0.099802584
9.146245138,0.096998479
0.376069667,0.048365272
0.361705111,900
0.341718674,900
0.301770678,900
0.357713768,900
0.187040325,0.050187314
0.04293933,0.055645221
0.043008768,0.05642943
0.042987469,0.055183541
