iDQ 1.0,dCAQE 4.0.1,iProver v3.1 (CASC-27),HQS 2,DQBDD 1.1
0.032642438,0.0238065,0.564013488,0.034168972,0.039056177
0.035616333,0.024843112,0.565435125,0.034408893,0.042307873
0.037477597,0.029494835,0.708589577,0.035479505,0.043399081
0.045222679,0.029633001,0.716512637,0.036688124,0.045193135
0.060722598,0.03153638,0.799176838,0.037923539,0.045385733
0.063527789,0.031833338,0.800637336,0.038271375,0.045440629
0.063885931,0.032522961,0.867409514,0.038383661,0.045887071
0.067465783,0.033504099,0.871200769,0.03841222,0.04589256
0.068394981,0.034947836,0.877054396,0.038438751,0.045965572
0.068554753,0.035223055,0.877900665,0.038464065,0.0461659
0.06934361,0.036351316,0.878999886,0.038580323,0.046823424
0.070111825,0.036782753,0.883925642,0.038643094,0.046938406
0.071647923,0.037030695,0.887898548,0.03866653,0.04707315
0.071662429,0.037554234,0.888089414,0.038695339,0.047300178
0.071988664,0.038134625,0.888333517,0.038742843,0.047944959
0.072650657,0.038453808,0.888792308,0.038865048,0.048365272
0.072908607,0.039456674,0.889195368,0.038918745,0.04933203
0.073202558,0.039468421,0.894833171,0.03939848,0.049625449
0.073301033,0.039619351,0.900245548,0.039586042,0.049638386
0.073778114,0.039660164,0.902509215,0.040201473,0.049733592
0.073869582,0.039696958,0.928766212,0.040250621,0.049795281
0.074799947,0.039941435,0.929513595,0.040587082,0.049879241
0.075666636,0.040127564,0.941485449,0.040823707,0.049967091
0.078299419,0.040129358,0.942106254,0.041212384,0.050126739
0.082634279,0.040513424,1.070561505,0.04134069,0.050156869
0.102424579,0.04055584,1.091772354,0.041494631,0.050187314
0.107708589,0.041120542,1.093452297,0.041555303,0.050311327
0.109094836,0.042672923,1.100722325,0.041616046,0.050648348
0.11288131,0.042807939,1.131040836,0.041732129,0.051527797
0.116179312,0.04355865,1.138946773,0.041964217,0.051565864
0.121813282,0.043763126,1.344934135,0.042106866,0.051716642
0.12206257,0.044157256,1.887734595,0.042126216,0.051820679
0.126791202,0.044332363,2.023895818,0.042446592,0.051899495
0.12785681,0.04611195,2.027637908,0.042514156,0.052218905
0.128913638,0.046364726,2.039611894,0.042567548,0.052549331
0.12958854,0.04653516,2.041694794,0.042588022,0.053400069
0.133534947,0.046774607,2.211486973,0.042596765,0.053870785
0.137132772,0.047008486,2.217139699,0.042634705,0.053896251
0.150076965,0.047663646,2.22127277,0.042660734,0.054092883
0.174296852,0.049319835,2.349590952,0.042701798,0.054490354
0.177450737,0.049913324,2.881111541,0.042842811,0.054849379
0.180329162,0.052603196,2.894962762,0.04292914,0.055183541
0.193185755,0.052751189,3.552907919,0.04293933,0.055197591
0.196257002,0.052847354,3.555334586,0.042987469,0.05523509
0.197209577,0.053490865,3.563229483,0.043008768,0.05527952
0.204124701,0.054761409,3.563487139,0.043033058,0.055403319
0.218951954,0.056868065,3.564358268,0.043260663,0.055425906
0.343512374,0.057353072,3.566733114,0.04342152,0.055645221
0.574940401,0.057795835,3.568773148,0.043491154,0.056331854
0.846594728,0.058322707,3.570290115,0.043608146,0.05642943
0.888298965,0.058735965,3.570453818,0.045524473,0.057023925
1.144934771,0.058831702,3.578326437,0.046080541,0.05731684
1.357914959,0.059498738,3.579323564,0.046178422,0.057480119
1.377095894,0.060375929,3.580805786,0.046352545,0.057740118
1.502022155,0.06123613,4.332153997,0.046403532,0.057832241
1.546092154,0.061367404,4.346555196,0.046534768,0.057854783
1.554144056,0.061485854,4.987553351,0.046916978,0.05791143
1.554510608,0.061913054,4.989458411,0.0474897,0.057926899
1.559161016,0.06245717,4.998051715,0.04749003,0.058068216
1.951815429,0.062529829,4.998520788,0.048282737,0.058072383
1.989452297,0.062829204,5.008898251,0.049021671,0.058204368
2.060221986,0.063769029,5.01111228,0.049473634,0.058237265
2.073079325,0.063974118,5.011565397,0.049754329,0.058254732
2.097199022,0.064157921,5.0128095,0.049777474,0.058263204
2.149240533,0.064304058,5.015447305,0.050108121,0.058303633
2.149820385,0.064380962,5.018902794,0.050539811,0.058428325
2.160534881,0.065015046,5.021798406,0.050974648,0.058978138
2.171061725,0.065174252,5.0242349,0.051267339,0.059183236
2.178567942,0.066905323,5.122116644,0.053383722,0.059239172
2.205156823,0.06860235,5.741869842,0.053747121,0.05932337
2.212001034,0.068690906,5.748094322,0.053761109,0.059433161
2.213455103,0.068895849,5.790844374,0.053765236,0.059967669
2.224629653,0.068927551,6.117397156,0.054060649,0.060132075
2.227618408,0.069312639,6.128988056,0.054375703,0.060427062
2.235224123,0.069342412,6.138929756,0.054614417,0.060480312
2.244343649,0.069661834,6.144436455,0.055200172,0.060515091
2.285956135,0.069762262,6.149221189,0.05577593,0.061564326
2.347908881,0.070272815,6.215954738,0.057509779,0.061624084
2.382723676,0.070606931,6.217143908,0.057964814,0.06173193
2.392061024,0.070701196,6.220841065,0.057981272,0.061945294
2.72958826,0.070844148,6.226817481,0.058605396,0.062008644
2.754934484,0.07168533,6.275983317,0.059228712,0.062197848
2.975935969,0.07246816,8.282705482,0.061561483,0.062237964
3.130593194,0.073613329,8.320255728,0.061744928,0.063083275
4.571155617,0.073649316,8.766626786,0.061771534,0.063277927
4.628392458,0.073717296,8.769080071,0.061777239,0.063296895
5.075980508,0.073736447,8.776808274,0.061781583,0.064070362
5.140991885,0.075009083,8.782714238,0.06178509,0.064649695
5.173968617,0.075053895,8.810850203,0.061793644,0.064765828
5.197052566,0.076608422,9.605092957,0.061945725,0.065629601
5.981451366,0.079210259,9.634329498,0.061961159,0.065800465
6.819085387,0.080763971,9.634886676,0.062026929,0.06587253
6.9773872,0.080828468,9.635498245,0.063339254,0.065934928
7.623829668,0.082877113,9.664464191,0.066329627,0.066048879
7.838649451,0.084388807,9.899165998,0.067195761,0.066068587
8.7753305,0.084522135,9.899707511,0.069096581,0.066156824
9.261353198,0.085421535,9.950060827,0.06995028,0.066193903
22.31506829,0.085687559,10.17856705,0.069959354,0.066283738
22.38254344,0.086813679,10.185729,0.070141416,0.066315436
22.43593025,0.088594527,10.19158819,0.070231671,0.066354563
22.58018534,0.089550749,10.20496638,0.073133013,0.066382274
105.8939004,0.091128082,10.21608967,0.073726229,0.066476945
140.1846824,0.09113783,10.28067952,0.07374066,0.067321854
222.007244,0.091931764,10.28817813,0.073865628,0.068710797
224.4341465,0.093612842,14.68696972,0.078630777,0.069641536
